iter	Logloss
0	0.6108399963
1	0.5479668172
2	0.4960306803
3	0.4629429118
4	0.4344555155
5	0.3987920634
6	0.3849556478
7	0.3579296366
8	0.3441382345
9	0.3252852376
10	0.3190537771
11	0.3110227712
12	0.3057835897
13	0.2981341807
14	0.2909549967
15	0.2835883077
16	0.2812434133
17	0.2747348277
18	0.2712397257
19	0.267621994
20	0.2640637207
21	0.260950826
22	0.25501297
23	0.2530068461
24	0.2491585032
25	0.2464089457
26	0.2429146067
27	0.2388457235
28	0.2360505676
29	0.2309071604
30	0.2277556356
31	0.2257702128
32	0.2218197632
33	0.218054657
34	0.2152901967
35	0.2126819483
36	0.2108449427
37	0.2078499476
38	0.2047203573
39	0.2014994558
40	0.1981780497
41	0.1954785411
42	0.1916084798
43	0.1889613851
44	0.1877073034
45	0.1834550858
46	0.1809916941
47	0.1787603378
48	0.1771021652
49	0.1748434703
50	0.1731389745
51	0.1701651637
52	0.169234225
53	0.1677106476
54	0.1643461482
55	0.1624279404
56	0.1597999827
57	0.1580668767
58	0.1555841955
59	0.1529506811
60	0.1516371409
61	0.1492396673
62	0.1465553284
63	0.1459949875
64	0.1437661743
65	0.1426802572
66	0.1404466502
67	0.1384972636
68	0.1361314265
69	0.1340562439
70	0.1331482442
71	0.1314450455
72	0.1303009796
73	0.1286620712
74	0.1259534963
75	0.1243069967
76	0.1223582713
77	0.1204583613
78	0.1186250814
79	0.1178615189
80	0.1171304703
81	0.1151830292
82	0.1138014476
83	0.1118235397
84	0.1101494598
85	0.1087971242
86	0.1083656693
87	0.1067343521
88	0.106182518
89	0.1045377413
90	0.1037590218
91	0.103207283
92	0.1013778496
93	0.09921710332
94	0.09881017685
95	0.09734558105
96	0.09708807627
97	0.09585459391
98	0.09410284678
99	0.09280305227
100	0.09263830185
101	0.09186229706
102	0.09107364655
103	0.08972825368
104	0.08822858175
105	0.08706188202
106	0.08604096731
107	0.08422696431
108	0.08325841904
109	0.08314160665
110	0.08212593079
111	0.0819823583
112	0.08097142537
113	0.07976242065
114	0.07846260707
